"VoteShare","SeatShare","One","Five","NintyFive","NintyNine","MinShift","NCA","Inversions_Dem","Inversions_Rep"
0.35,0.221,0.112,0.143,0.313,0.351,0.135,-0.546,0,0
0.352,0.224,0.11,0.143,0.304,0.342,0.134,-0.545,0,0
0.354,0.227,0.114,0.145,0.313,0.347,0.132,-0.538,0,0
0.356,0.231,0.11,0.145,0.318,0.356,0.129,-0.531,0,0
0.358,0.236,0.114,0.152,0.322,0.358,0.127,-0.524,0,0
0.36,0.238,0.123,0.15,0.329,0.365,0.124,-0.515,0,0
0.362,0.239,0.121,0.157,0.327,0.362,0.124,-0.515,0,0
0.364,0.247,0.119,0.161,0.34,0.371,0.121,-0.503,0,0
0.366,0.25,0.125,0.163,0.338,0.38,0.118,-0.492,0,0
0.368,0.25,0.128,0.161,0.333,0.376,0.118,-0.488,0,0
0.37,0.259,0.139,0.172,0.353,0.385,0.115,-0.48,0,0
0.372,0.259,0.139,0.17,0.349,0.378,0.113,-0.475,0,0
0.374,0.26,0.141,0.177,0.349,0.383,0.111,-0.47,0,0
0.376,0.266,0.148,0.179,0.36,0.392,0.108,-0.46,0,0
0.378,0.27,0.152,0.181,0.36,0.389,0.108,-0.453,0,0
0.38,0.275,0.159,0.188,0.353,0.396,0.106,-0.444,0,0
0.382,0.278,0.152,0.192,0.363,0.396,0.102,-0.438,0,0
0.384,0.279,0.163,0.195,0.367,0.4,0.102,-0.435,0,0
0.386,0.282,0.159,0.197,0.367,0.398,0.1,-0.425,0,0
0.388,0.288,0.166,0.201,0.38,0.412,0.097,-0.418,0,0
0.39,0.288,0.161,0.201,0.376,0.421,0.095,-0.414,0,0
0.392,0.294,0.179,0.21,0.383,0.416,0.094,-0.407,0,0
0.394,0.301,0.181,0.213,0.387,0.427,0.091,-0.394,0,1
0.396,0.299,0.172,0.212,0.389,0.425,0.09,-0.394,0,0
0.398,0.301,0.181,0.213,0.391,0.427,0.088,-0.388,0,0
0.4,0.312,0.188,0.226,0.403,0.445,0.085,-0.371,0,0
0.402,0.315,0.195,0.228,0.401,0.441,0.084,-0.365,0,0
0.404,0.317,0.197,0.228,0.405,0.454,0.081,-0.357,0,1
0.406,0.323,0.19,0.235,0.412,0.445,0.078,-0.347,0,0
0.408,0.327,0.204,0.241,0.421,0.452,0.077,-0.34,0,1
0.41,0.327,0.192,0.237,0.421,0.447,0.076,-0.34,0,0
0.412,0.336,0.215,0.244,0.427,0.463,0.073,-0.326,0,2
0.414,0.335,0.204,0.244,0.423,0.456,0.072,-0.322,0,0
0.416,0.343,0.217,0.255,0.434,0.479,0.07,-0.31,0,4
0.418,0.346,0.219,0.255,0.438,0.472,0.067,-0.303,0,5
0.42,0.352,0.23,0.266,0.438,0.479,0.066,-0.289,0,4
0.422,0.355,0.228,0.266,0.45,0.481,0.062,-0.283,0,2
0.424,0.36,0.239,0.268,0.45,0.486,0.06,-0.276,0,6
0.426,0.367,0.242,0.282,0.456,0.49,0.059,-0.265,0,6
0.428,0.368,0.244,0.284,0.456,0.501,0.057,-0.257,0,11
0.43,0.371,0.239,0.277,0.463,0.506,0.055,-0.252,0,11
0.432,0.376,0.26,0.293,0.465,0.488,0.054,-0.242,0,4
0.434,0.382,0.264,0.295,0.472,0.506,0.05,-0.232,0,15
0.436,0.384,0.26,0.295,0.472,0.503,0.048,-0.224,0,12
0.438,0.389,0.264,0.298,0.483,0.515,0.046,-0.218,0,25
0.44,0.393,0.259,0.302,0.477,0.512,0.046,-0.206,0,21
0.442,0.4,0.273,0.306,0.488,0.517,0.042,-0.196,0,28
0.444,0.402,0.282,0.315,0.497,0.53,0.042,-0.191,0,46
0.446,0.408,0.282,0.318,0.497,0.532,0.04,-0.181,0,41
